Date,matches_played,total_cards,cards_per_match
2026-01-19,1,17,17.0
2025-10-20,1,16,16.0
2026-04-13,1,16,16.0
2026-05-11,1,16,16.0
2026-02-06,1,15,15.0
2026-03-20,1,15,15.0
2026-04-27,1,15,15.0
2025-09-28,2,29,14.5
2026-03-22,3,42,14.0
2025-11-02,2,27,13.5
2026-04-22,2,27,13.5
2025-12-26,1,13,13.0
2025-12-07,2,26,13.0
2025-08-15,1,13,13.0
2026-05-15,1,13,13.0
2026-01-31,5,65,13.0
2026-05-13,1,13,13.0
2025-10-19,2,25,12.5
2026-05-04,2,25,12.5
2025-08-22,1,12,12.0
2025-12-04,1,12,12.0
2026-03-14,5,59,11.8
2025-11-09,5,59,11.8
2025-12-02,3,35,11.67
2026-02-21,5,58,11.6
2026-03-01,4,46,11.5
2025-09-27,7,80,11.43
2026-05-09,5,57,11.4
2025-12-27,7,79,11.29
2026-03-21,4,45,11.25
2026-04-21,1,11,11.0
2026-01-06,1,11,11.0
2026-02-23,1,11,11.0
2025-09-13,8,88,11.0
2025-11-24,1,11,11.0
2025-11-29,5,55,11.0
2025-11-22,7,76,10.86
2026-05-17,6,65,10.83
2026-02-28,5,54,10.8
2026-02-11,5,54,10.8
2026-01-25,4,43,10.75
2025-08-31,4,43,10.75
2026-01-17,7,75,10.71
2026-05-24,10,107,10.7
2025-09-21,3,32,10.67
2025-10-26,5,53,10.6
2025-09-20,7,74,10.57
2026-01-18,2,21,10.5
2026-02-01,4,42,10.5
2025-12-06,7,73,10.43
2026-01-04,6,62,10.33
2025-10-18,7,72,10.29
2026-01-07,8,82,10.25
2026-04-11,4,41,10.25
2026-01-03,4,41,10.25
2025-12-30,6,61,10.17
2026-04-12,4,40,10.0
2026-05-19,2,20,10.0
2025-09-14,2,20,10.0
2025-12-21,1,10,10.0
2025-12-08,1,10,10.0
2026-03-15,4,40,10.0
2026-02-12,1,10,10.0
2026-03-03,4,40,10.0
2026-04-20,1,10,10.0
2025-08-17,3,30,10.0
2025-08-16,5,50,10.0
2025-11-01,7,70,10.0
2026-02-07,7,68,9.71
2025-12-03,6,58,9.67
2026-04-18,5,48,9.6
2026-05-02,4,37,9.25
2026-02-22,4,37,9.25
2025-12-13,4,37,9.25
2026-04-19,4,37,9.25
2026-02-10,4,37,9.25
2025-11-08,5,46,9.2
2025-11-30,5,46,9.2
2026-04-25,5,46,9.2
2026-01-24,5,46,9.2
2025-08-18,1,9,9.0
2025-12-15,1,9,9.0
2026-04-24,1,9,9.0
2026-03-05,1,9,9.0
2025-08-25,1,9,9.0
2026-03-04,5,44,8.8
2026-05-10,4,35,8.75
2025-08-23,5,43,8.6
2025-12-28,2,17,8.5
2026-02-08,2,17,8.5
2025-12-20,8,67,8.38
2025-10-25,4,33,8.25
2025-10-05,5,40,8.0
2025-09-29,1,8,8.0
2026-01-26,1,8,8.0
2026-01-01,4,32,8.0
2025-08-30,6,47,7.83
2025-08-24,3,23,7.67
2026-05-03,3,23,7.67
2025-10-04,4,30,7.5
2026-04-10,1,7,7.0
2025-10-03,1,7,7.0
2025-10-24,1,7,7.0
2026-03-16,1,6,6.0
2025-12-22,1,6,6.0
2025-12-14,5,30,6.0
2026-05-18,1,6,6.0
2025-11-23,2,11,5.5
2025-11-03,1,5,5.0
2026-02-27,1,5,5.0
2026-05-01,1,5,5.0
2026-02-18,1,4,4.0
2026-02-02,1,3,3.0
2026-01-08,1,3,3.0
