Date,HomeTeam,AwayTeam,HTHG,HTAG,FTHG,FTAG
2025-08-31,Brighton,Man City,0,1,2,1
2025-09-27,Chelsea,Brighton,1,0,1,3
2025-09-28,Newcastle,Arsenal,1,0,1,2
2025-10-05,Everton,Crystal Palace,0,1,2,1
2025-11-09,Brentford,Newcastle,0,1,3,1
2025-11-22,Brighton,Brentford,0,1,2,1
2025-11-23,Leeds,Aston Villa,1,0,1,2
2025-11-29,Sunderland,Bournemouth,1,2,3,2
2025-11-30,Crystal Palace,Man United,1,0,1,2
2025-12-14,West Ham,Aston Villa,2,1,2,3
2025-12-27,Chelsea,Aston Villa,1,0,1,2
2026-01-06,West Ham,Nott'm Forest,1,0,1,2
2026-01-07,Newcastle,Leeds,1,2,4,3
2026-01-24,Fulham,Brighton,0,1,2,1
2026-01-31,Chelsea,West Ham,0,2,3,2
2026-02-07,Fulham,Everton,1,0,1,2
2026-02-10,Everton,Bournemouth,1,0,1,2
2026-03-01,Man United,Crystal Palace,0,1,2,1
2026-03-22,Newcastle,Sunderland,1,0,1,2
2026-04-12,Crystal Palace,Newcastle,0,1,2,1
2026-04-19,Nott'm Forest,Burnley,0,1,4,1
2026-05-17,Everton,Sunderland,1,0,1,3
2026-05-24,Man City,Aston Villa,1,0,1,2
