Team,total_fouls,total_yellow_cards,total_red_cards,avg_fouls_per_match,avg_yellow_cards_per_match,avg_red_cards_per_match
Wolves,494,78,3,13.0,2.05,0.08
Tottenham,463,101,3,12.18,2.66,0.08
Bournemouth,457,88,2,12.03,2.32,0.05
Brighton,453,86,0,11.92,2.26,0.0
Chelsea,426,89,7,11.21,2.34,0.18
West Ham,421,67,3,11.08,1.76,0.08
Fulham,414,75,1,10.89,1.97,0.03
Nott'm Forest,407,60,0,10.71,1.58,0.0
Sunderland,407,80,3,10.71,2.11,0.08
Everton,405,73,5,10.66,1.92,0.13
Crystal Palace,398,74,2,10.47,1.95,0.05
Leeds,398,62,1,10.47,1.63,0.03
Burnley,394,64,2,10.37,1.68,0.05
Man United,391,62,3,10.29,1.63,0.08
Arsenal,391,51,0,10.29,1.34,0.0
Brentford,390,69,0,10.26,1.82,0.0
Newcastle,386,63,2,10.16,1.66,0.05
Liverpool,383,57,1,10.08,1.5,0.03
Aston Villa,379,58,1,9.97,1.53,0.03
Man City,367,67,0,9.66,1.76,0.0
